vacancyId,skillId,weight
1,27,0.4166666666666667
1,23,0.16666666666666666
1,40,0.4166666666666667
2,10,0.2777777777777778
2,14,0.1111111111111111
2,37,0.05555555555555555
2,19,0.05555555555555555
2,35,0.2777777777777778
2,28,0.16666666666666666
2,23,0.05555555555555555
3,26,0.19230769230769232
3,2,0.038461538461538464
3,37,0.15384615384615385
3,7,0.11538461538461539
3,20,0.19230769230769232
3,29,0.038461538461538464
3,13,0.038461538461538464
3,11,0.07692307692307693
3,21,0.15384615384615385
4,6,0.21052631578947367
4,35,0.21052631578947367
4,20,0.05263157894736842
4,29,0.15789473684210525
4,37,0.05263157894736842
4,22,0.2631578947368421
4,14,0.05263157894736842
5,9,0.07692307692307693
5,36,0.07692307692307693
5,1,0.15384615384615385
5,6,0.11538461538461539
5,20,0.19230769230769232
5,21,0.11538461538461539
5,16,0.038461538461538464
5,26,0.07692307692307693
5,38,0.15384615384615385
6,12,0.09090909090909091
6,29,0.09090909090909091
6,26,0.22727272727272727
6,38,0.09090909090909091
6,16,0.045454545454545456
6,19,0.22727272727272727
6,22,0.22727272727272727
7,6,0.15
7,14,0.1
7,32,0.1
7,17,0.25
7,23,0.05
7,28,0.15
7,37,0.1
7,33,0.05
7,3,0.05
8,35,0.19047619047619047
8,1,0.14285714285714285
8,28,0.23809523809523808
8,16,0.047619047619047616
8,38,0.19047619047619047
8,17,0.09523809523809523
8,24,0.09523809523809523
9,6,0.4
9,19,0.5
9,31,0.1
10,17,0.041666666666666664
10,21,0.041666666666666664
10,4,0.16666666666666666
10,39,0.125
10,13,0.08333333333333333
10,7,0.125
10,29,0.20833333333333334
10,33,0.20833333333333334
11,1,0.3333333333333333
11,7,0.3333333333333333
11,27,0.3333333333333333
12,35,0.12
12,3,0.04
12,32,0.16
12,5,0.12
12,17,0.2
12,40,0.04
12,15,0.2
12,22,0.08
12,28,0.04
13,34,0.25
13,31,0.375
13,37,0.375
14,33,0.041666666666666664
14,23,0.16666666666666666
14,39,0.08333333333333333
14,1,0.08333333333333333
14,11,0.041666666666666664
14,32,0.08333333333333333
14,17,0.125
14,5,0.20833333333333334
14,14,0.041666666666666664
14,27,0.125
15,8,0.3333333333333333
15,32,0.2222222222222222
15,17,0.3333333333333333
15,11,0.1111111111111111
16,27,0.15384615384615385
16,19,0.19230769230769232
16,4,0.07692307692307693
16,37,0.15384615384615385
16,7,0.15384615384615385
